,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
726,City Road,500000,Flat / Apartment,561,1,1,1,Clerkenwell,London,EC1V 1AG
727,Cadogan Lane,3975000,House,1726,3,3,3,Knightsbridge,London,SW1X 9DP
728,Strawberry Vale,1999995,House,2537,5,5,5,,Twickenham,TW1 4RX
729,Seaton Close,1099000,House,1554,4,4,4, Putney,London,SW15 3TJ
730,Roseland House,539950,Flat / Apartment,627,2,2,2,Weimar Street,London,SW15 1SY
731,Woodhouse Eaves,1050000,House,1677,4,4,4,Northwood,Middlesex,HA6 3NF
732,Gayville Road,850000,Flat / Apartment,901,2,2,2,,London,SW11 6JW
733,Edgeley Road,599950,Flat / Apartment,699,2,2,2,,London,SW4 6HB
734,Marmion Road,695000,Flat / Apartment,987,2,2,2,,London,SW11 5PA
735,Carlton Mansions,950000,Flat / Apartment,922,3,3,3, Maida Vale,London,W9 1NS
736,Liverpool Road,1999995,House,2073,4,4,4,,London,N7 8PR
737,Matilda Street,365000,Flat / Apartment,520,1,1,1,,London,N1 1BG
738,Kidderpore Avenue,1200000,Flat / Apartment,1218,3,3,3,Hampstead,London,NW3 7SF
739,Palace Road,2950000,House,4389,6,6,6,East Molesey,Surrey,KT8 9DW
740,Alleyn Park,1875000,House,3435,5,5,5,,London,SE21 8AA
741,The Chase,5100000,House,4459,7,7,7,,London,SW4 0NH
742,Andersens Wharf,490000,Flat / Apartment,771,2,2,2, Canary Wharf,London,E14 7DX
743,Lonsdale Road,2750000,House,2612,6,6,6,Barnes,London,SW13 9ED
744,Townshend Court,450000,Flat / Apartment,460,1,1,1, St John's Wood,London,NW8 7DP
745,Weldin Mews,825000,House,1224,3,3,3,Putney,London,SW18 1FT
746,Hotham Road,1695000,House,2205,4,4,4,Putney,London,SW15 1QJ
747,Carlton Drive,425000,Flat / Apartment,548,1,1,1,Putney,London,SW15 2BD
748,Gloucester Avenue,1250000,Flat / Apartment,896,2,2,2,Primrose Hill,London,NW1 8JD
749,Northumberland Place,3750000,House,2239,4,4,4,,London,W2 5BS
750,The Claves,785000,New development,1263,2,2,2, Mill Hill,London,NW7 1NY
751,City Road,675000,Flat / Apartment,891,2,2,2,,London,EC1V 1LA
752,Forest Road,465000,Flat / Apartment,518,1,1,1,Hackney,London,E8 3BL
753,Howitt Road,1350000,Flat / Apartment,1023,2,2,2,Belsize Park,London,NW3 4LJ
754,Ashington Road,2500000,House,2458,5,5,5,Fulham,London,SW6 3QJ
755,Winterdown Road,675000,House,915,2,2,2,Esher,Surrey,KT10 8LP
756,Milton Road,945000,House,1112,3,3,3,East Sheen,London,SW14 8JP
757,Dundee Wharf,725000,Flat / Apartment,861,2,2,2, Limehouse,London,E14 8AY
758,Wharfside Point South,325000,Flat / Apartment,469,1,1,1, Canary Wharf,London,E14 9EX
759,Myddelton Square,800000,Flat / Apartment,742,2,2,2,Finsbury,London,EC1R 1YE
760,Cloth Court,595000,New development,476,1,1,1,Farringdon,London,EC1A 7LS
761,Edensor Gardens,425000,Flat / Apartment,740,2,2,2,Grove Park,London,W4 2QY
762,Lillian Road,1250000,House,1380,3,3,3,Barnes,London,SW13 9JF
763,Glebe Road,2100000,House,1959,5,5,5,Barnes,London,SW13 0DR
764,Knowsley Road,875000,House,869,2,2,2,Battersea,London,SW11 5BL
765,Poyntz Road,1095000,House,1238,3,3,3,Battersea,London,SW11 5BH
766,Battersea Church Road,1495000,Penthouse,1680,4,4,4,Battersea,London,SW11 3NA
767,Hove Court,895000,Flat / Apartment,1221,3,3,3, Wimbledon,London,SW19 4AG
768,Birdhurst Road,650000,Flat / Apartment,1087,3,3,3,,London,SW18 1AR
769,Eaton Place,3500000,Flat / Apartment,1548,3,3,3,Belgravia,London,SW1X 8AD
770,Chevalier House,4750000,Flat / Apartment,1559,2,2,2, Knightsbridge,London,SW3 1BW
771,Macaulay Court,550000,Flat / Apartment,690,2,2,2,Macaulay Road,London,SW4 0QU
772,The Green,525000,Flat / Apartment,1299,3,3,3, Buckhurst Hill,Essex,IG9 5NQ
773,Chelsea Waterfront,4035000,New development,2174,4,4,4, Chelsea,London,SW10 0QH
774,Melbourne House,1150000,Flat / Apartment,933,2,2,2,50 Kensington Place,London,W8 7PW
775,Peel Street,2350000,House,1327,2,2,2,,London,W8 7PA
776,Parkhill,2100000,Flat / Apartment,2810,3,3,3, Esher,Surrey,KT10 9NP
777,Greenways,1000000,House,2590,4,4,4,Esher,Surrey,KT10 0QD
778,Tower Bridge Road,780000,Penthouse,1010,2,2,2,,London,SE1 2AW
779,Becmead Avenue,1595000,House,3260,6,6,6,,London,SW16 1UQ
780,Pavilion Square,1000000,House,2456,3,3,3,,London,SW17 7DN
781,Beechmore Road,625000,Flat / Apartment,967,1,1,1,,London,SW11 4ET
782,Trott Street,1300000,House,1457,4,4,4,Battersea,London,SW11 3DS
783,Maunsel Street,2950000,House,2349,5,5,5,Westminster,London,SW1P 2QN
784,South Park Road,995000,House,1184,3,3,3,Wimbledon,London,SW19 8SZ
785,Wycombe Place,1150000,House,1705,3,3,3,,London,SW18 2LT
786,Battersea Reach,700000,Flat / Apartment,814,2,2,2, Battersea,London,SW18 1TA
787,Cicada Road,575000,Flat / Apartment,619,2,2,2,,London,SW18 2NW
788,Southborough Road,1675000,House,1749,4,4,4,South Hackney,London,E9 7EE
789,Trevor Square,4500000,Flat / Apartment,1607,2,2,2,,London,SW7 1EA
790,Eaton Square,820000,Flat / Apartment,992,1,1,1,,London,SW1W 9BD
791,Northumberland Place,2950000,House,2400,3,3,3,Richmond,Surrey,TW10 6TS
792,Felsham Road,635000,Flat / Apartment,774,2,2,2,Putney,London,SW15 1BB
793,Langside Avenue,1995000,House,3256,5,5,5,Putney,London,SW15 5QT
794,Liverpool Road,1895000,House,1868,3,3,3,Islington,London,N1 0RE
795,Arnison Road,2250000,House,3364,5,5,5,East Molesey,Surrey,KT8 9JJ
796,Upper Richmond Road West,1250000,House,2032,6,6,6,Richmond,Surrey,TW10 5DY
797,Duckman Tower,825000,Flat / Apartment,1026,3,3,3, Canary Wharf,London,E14 9BL
798,Clerkenwell Road,875000,Flat / Apartment,767,2,2,2,Clerkenwell,London,EC1M 5PY
799,Meredyth Road,2175000,House,2108,5,5,5,Barnes,London,SW13 0DS
800,Rectory Road,2250000,House,2332,5,5,5,Barnes,London,SW13 0DT
801,Alexandra Avenue,975000,Flat / Apartment,1100,2,2,2,Battersea,London,SW11 4DZ
802,Edna Street,1735000,House,2144,4,4,4,Battersea,London,SW11 3DP
803,Tonsley Road,1295000,House,1811,4,4,4,,London,SW18 1BG
804,Addison House,875000,Flat / Apartment,693,2,2,2,Grove End Road,London,NW8 9EL
805,Jade Terrace,1950000,House,1873,5,5,5, South Hampstead,London,NW6 4EQ
806,Edge Apartments,995000,Flat / Apartment,1243,2,2,2, Twickenham,Middlesex,TW1 4RX
807,Church Road,3450000,House,3825,5,5,5, Richmond,Surrey,TW10 5HG
808,Elsworthy Terrace,1295000,Flat / Apartment,1366,2,2,2,,London,NW3 3DR
809,Stanmore Hill,2500000,House,4222,6,6,6,Stanmore,Middlesex,HA7 3BY
810,Bickenhall Mansions,2150000,Flat / Apartment,1672,3,3,3, Marylebone,London,W1U 6BT
811,Goodwood Court,800000,Flat / Apartment,548,2,2,2, Marylebone,London,W1W 5DZ
812,Portland Chambers,1750000,Flat / Apartment,883,2,2,2, Fitzrovia,London,W1W 6RP
813,Monkhams Avenue,1250000,House,1901,4,4,4,Woodford Green,Essex,IG8 0HB
814,Bowden House,1178000,New development,847,2,2,2, Battersea,London,SW11 4FA
815,One Bishopsgate Plaza,1285000,New development,652,1,1,1,,City Of London,EC2M 4JY
816,Aubrey Road,7950000,House,3443,5,5,5,,London,W8 7JJ
817,Wynnstay Gardens,2150000,Flat / Apartment,1806,4,4,4,,London,W8 6UP
818,Battledean Road,1895000,House,2132,5,5,5,Highbury,London,N5 1UZ
819,Galleria,1200000,Flat / Apartment,1355,2,2,2,29 Laycock Street,London,N1 1UR
820,Independent Place,725000,House,804,1,1,1,Hackney,London,E8 2HE
821,Wildwood Grove,1100000,House,1069,2,2,2,Hampstead,London,NW3 7HU
822,Gifford Gardens,1000000,New development,2258,4,4,4,,London,W7 3AS
823,Ternary Place,600000,New development,870,1,1,1, Ealing,London,W5 3HJ
824,Gloucester Road,695000,Flat / Apartment,537,1,1,1,,London,SW7 4AU
825,Gosberton Road,1450000,House,1921,4,4,4,,London,SW12 8LF
826,Foxbourne Road,699950,Flat / Apartment,902,2,2,2,,London,SW17 8EN
827,Ravenslea Road,1295000,House,1674,4,4,4,Balham,London,SW12 8RT
828,Cranley Gardens,2600000,Flat / Apartment,1500,3,3,3,,London,SW7 3DD
829,Crooked Billet,600000,House,570,2,2,2,Wimbledon,London,SW19 4RQ
830,Alverstone Avenue,895000,House,900,3,3,3,Wimbledon,London,SW19 8BD
831,Leopold Road,1160000,Penthouse,1112,2,2,2,Wimbledon,London,SW19 7JQ
832,Chatham Place,625000,Flat / Apartment,797,2,2,2,,London,E9 6FJ
833,Mortimer Court,450000,Flat / Apartment,377,1,1,1,Abbey Road,London,NW8 9AD
834,St. Quintin Avenue,899950,Flat / Apartment,1115,3,3,3,,London,W10 6PB
835,Pembridge Square,1250000,Flat / Apartment,649,1,1,1,,London,W2 4EH
836,Holland Park Avenue,1650000,Flat / Apartment,1055,2,2,2,,London,W11 4UE
837,Stanley Crescent,2975000,Flat / Apartment,1657,3,3,3,,London,W11 2NA
838,Wimpole Mews,2500000,House,1266,3,3,3,Marylebone,London,W1G 8PE
839,Cadogan Gardens,2150000,Flat / Apartment,1064,2,2,2,Sloane Square,London,SW3 2RE
840,Pont Street,1700000,Flat / Apartment,1045,2,2,2,,London,SW1X 0AD
841,Empire House,2600000,Flat / Apartment,1722,3,3,3,Thurloe Place,London,SW7 2RU
842,Cadogan Gardens,1675000,Flat / Apartment,905,2,2,2,,London,SW3 2TH
843,Chester Street,1495000,Flat / Apartment,776,1,1,1,,London,SW1X 7BB
844,Rutland Gate,2895000,Flat / Apartment,1398,2,2,2,,London,SW7 1PJ
845,Rutland Gate,1450000,Flat / Apartment,675,1,1,1,,London,SW7 1BB
846,Hirst Court,795000,Flat / Apartment,691,1,1,1,20 Gatliff Road,London,SW1W 8QD
847,Holland Park Avenue,1895000,Flat / Apartment,1522,2,2,2,,London,W11 3QU
848,Imperial Court,1850000,Flat / Apartment,1480,3,3,3,4-10 Lexham Gardens,London,W8 5JH
849,Campden Hill Gate,3500000,Flat / Apartment,1804,4,4,4,Duchess Of Bedford's Walk,London,W8 7QJ
850,Vicarage Court,450000,Studio,410,0,0,0,Vicarage Gate,London,W8 4HF
851,Cornwall Mansions,2895000,Flat / Apartment,1850,3,3,3,33 Kensington Court,London,W8 5BG
852,Campden House,1250000,Flat / Apartment,1317,3,3,3,29 Sheffield Terrace,London,W8 7ND
853,Melbury Court,4250000,Flat / Apartment,2713,6,6,6,Kensington High Street,London,W8 6NH
854,Lexham Gardens,1300000,Flat / Apartment,1162,2,2,2,,London,W8 5JR
855,Thackeray House,1175000,Flat / Apartment,793,2,2,2,Thackeray Street,London,W8 5HA
856,Kensington Church Street,4450000,Penthouse,1894,3,3,3,,London,W8 7LP
857,Winchester Court,1550000,Flat / Apartment,923,2,2,2,Vicarage Gate,London,W8 4AF
858,Hornton Street,1300000,Flat / Apartment,914,2,2,2,,London,W8 7NP
859,Vincent Close,1550000,House,2602,4,4,4,Esher,Surrey,KT10 8AW
860,Summer Road,1325000,House,2410,5,5,5,Thames Ditton,Surrey,KT7 0QP
861,Sheen Gate Gardens,1450000,House,1899,4,4,4,East Sheen,London,SW14 7PD
862,Ranmere Street,1175000,House,1503,4,4,4,,London,SW12 9QQ
863,Carlton Drive,795000,New development,823,2,2,2,,London,SW15 2BS
864,Drayton Gardens,4750000,House,3104,6,6,6,Chelsea,London,SW10 9RY
865,Kings Court Mansions,799950,Flat / Apartment,890,2,2,2,721 Fulham Road,London,SW6 5PB
866,Lower Mall,650000,Flat / Apartment,743,2,2,2,,London,W6 9DJ
867,Burns Road,850000,House,1167,3,3,3,Battersea,London,SW11 5GX
868,Candlemakers Apartments,560000,Flat / Apartment,779,1,1,1, Battersea,London,SW11 3RS
869,Tyneham Road,910000,House,960,3,3,3,Battersea,London,SW11 5XP
870,Emerson Court,399950,Flat / Apartment,621,1,1,1, Wimbledon,London,SW19 7PQ
871,Wimbledon Hill Road,465000,Flat / Apartment,592,1,1,1,Wimbledon,London,SW19 7QU
872,Swanage Road,1535000,House,2352,5,5,5,,London,SW18 2DY
873,Lammas Road,725000,House,1344,5,5,5,Richmond,Surrey,TW10 7YD
874,Kenilworth Court,1295000,Flat / Apartment,1702,4,4,4, Putney,London,SW15 1HA
875,Oakhill Road,825000,Flat / Apartment,947,2,2,2,Putney,London,SW15 2FJ
876,Gloucester Avenue,1195000,Flat / Apartment,879,2,2,2,Primrose Hill,London,NW1 8JA
877,Regents Park Road,1250000,Flat / Apartment,1061,2,2,2,Regent's Park,London,NW1 7SY
878,Harley Road,1350000,Flat / Apartment,1225,2,2,2,,London,NW3 3BN
879,St Marys Avenue,1225000,House,2289,5,5,5,Northwood,Middlesex,HA6 3AY
880,Saxon Court,585000,Flat / Apartment,1032,2,2,2, Northwood,Middlesex,HA6 3FG
881,Bromells Road,550000,New development,542,1,1,1,,London,SW4 0BG
882,Paramount Court,985000,Flat / Apartment,677,2,2,2, Bloomsbury,London,WC1E 6JP
883,Grosvenor Avenue,530000,Flat / Apartment,482,1,1,1,Highbury,London,N5 2NR
884,Alwyne Road,4200000,House,2968,3,3,3,Islington,London,N1 2HN
885,Lawford Road,1375000,House,1340,3,3,3,Islington,London,N1 5BJ
886,Amhurst Road,575000,Flat / Apartment,707,2,2,2,Hackney,London,E8 2AG
887,Highfields Grove,2950000,House,2740,4,4,4,Highgate,London,N6 6HN
888,Basuto Road,1950000,House,1795,3,3,3, Parsons Green,Fulham,SW6 4BL
889,Napier Avenue,3250000,House,3156,5,5,5,Fulham,London,SW6 3PT
890,Sandown House,975000,Penthouse,1634,3,3,3, Esher,Surrey,KT10 9SL
891,Pine Walk,1100000,House,1716,4,4,4,Surbiton,Surrey,KT5 8NJ
892,Hill House Road,900000,House,1989,3,3,3,,London,SW16 2AQ
893,Wards Wharf Approach,300000,Flat / Apartment,517,1,1,1,Newham,London,E16 2ER
894,Junction House,510000,New development,577,1,1,1, Battersea,London,SW11 2NU
895,Sinclair Gardens,875000,Flat / Apartment,981,2,2,2,Brook Green,London,W14 0AU
896,Kingston Vale,1095000,House,2642,3,3,3,Kingston,London,SW15 3RN
897,Eversley Park,3350000,House,3256,5,5,5,Wimbledon,London,SW19 4UU
898,Ridgmount Road,1350000,House,1723,4,4,4,,London,SW18 2DA
899,Manchuria Road,975000,Flat / Apartment,1013,2,2,2,,London,SW11 6AE
900,Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW
901,The Gatehouse,475000,Flat / Apartment,650,2,2,2,1 Tiltman Place,London,N7 7EE
902,Tollington Way,575000,New development,840,2,2,2, London,N7 6QX,N7 6RG
903,The Stack,599950,New development,930,3,3,3,Homerton,London,E9 6HP
904,Marcon Place,585000,Flat / Apartment,881,2,2,2,Hackney,London,E8 1LP
905,Lyndale Avenue,1750000,House,2223,4,4,4,Childs Hill,London,NW2 2QA
906,The Butts,2950000,House,4034,6,6,6,Brentford,Middlesex,TW8 8BJ
907,St. Dunstans Avenue,950000,House,1258,4,4,4,Acton,London,W3 6QH
908,South Bank Tower,910000,Flat / Apartment,683,1,1,1, South Bank,London,SE1 9EY
909,Criffel Avenue,1849950,House,2372,5,5,5,Streatham,London,SW2 4AY
910,Ranelagh Mansions,700000,Flat / Apartment,758,2,2,2,New Kings Road,London,SW6 4RH
911,Bradmore Park Road,1275000,House,1419,3,3,3,,London,W6 0DT
912,South Park Road,425000,Flat / Apartment,549,1,1,1,Wimbledon,London,SW19 8TA
913,Rydens Road,1395000,House,3178,4,4,4,Walton-On-Thames,Surrey,KT12 3AA
914,Grove End Road,3000000,House,2432,4,4,4,St John's Wood,London,NW8 9LY
915,Richmond Hill,2975000,House,3352,6,6,6,Richmond,Surrey,TW10 6QX
916,Deodar Road,775000,Flat / Apartment,990,2,2,2,Putney,London,SW15 2NJ
917,Rectory Grove,4950000,House,4482,7,7,7,Clapham,London,SW4 0DZ
918,Muncaster Road,1850000,House,2088,4,4,4,,London,SW11 6NT
919,Bishops Gate,649000,New development,560,1,1,1,82-88 Fulham High Street,London,SW6 3LF
920,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
921,Amwell Court Estate,399950,Flat / Apartment,806,3,3,3, Finsbury Park,London,N4 2NY
922,Packington Street,500000,Flat / Apartment,527,1,1,1,,London,N1 7EA
923,Dalston Lane,1085000,House,1705,3,3,3,Hackney,London,E8 1NG
924,Bishops Road,1595000,House,1679,4,4,4,Fulham,London,SW6 7AS
925,Winterdown Road,850000,House,1336,3,3,3,Esher,Surrey,KT10 8LP
926,Gosberton Road,1500000,House,2084,5,5,5,,London,SW12 8LE
927,Hoadly Road,2800000,House,4050,6,6,6,,London,SW16 1AF
928,Emlyn Road,2700000,House,2685,5,5,5,Stamford Brook,London,W12 9TD
929,Berrymede Road,1150000,House,1301,4,4,4,Chiswick,London,W4 5JD
930,Lonsdale Road,2475000,House,2406,5,5,5,Barnes,London,SW13 9DA
931,Tyneham Road,799950,House,766,2,2,2,Battersea,London,SW11 5XR
932,Eaton Square,2950000,Flat / Apartment,1181,2,2,2,Belgravia,London,SW1W 9DF
933,Hazel Lane,2500000,House,4420,6,6,6,Richmond,Surrey,TW10 7AP
934,New Road,950000,House,1397,3,3,3,Richmond,Surrey,TW10 7HY
935,Fontarabia Road,595000,Flat / Apartment,683,1,1,1,,London,SW11 5PE
936,Burland Road,1495000,House,1892,5,5,5,,London,SW11 6SA
937,Southwold Mansions,625000,Flat / Apartment,693,2,2,2, Maida Vale,London,W9 2LF
938,Clarendon Court,935000,Flat / Apartment,829,2,2,2,33 Maida Vale,Little Venice,W9 1AJ
939,Albion Road,599995,Flat / Apartment,710,2,2,2,,London,N16 9PH
940,Elrington Road,1650000,House,2048,4,4,4,Hackney,London,E8 3BJ
941,Waldeck Road,525000,New development,666,1,1,1,Ealing,London,W13 8LY
942,Clapham Common South Side,800000,Flat / Apartment,992,2,2,2,,London,SW4 9DX
943,Selkirk Road,995000,House,1716,5,5,5,,London,SW17 0EP
944,Rookery Hill,1750000,House,3184,4,4,4,Ashtead,Surrey,KT21 1EG
945,Snarsgate Street,775000,House,634,2,2,2,,London,W10 6QP
946,Aspley Road,1595000,House,2287,5,5,5,,London,SW18 2DB
947,Pinnacle House,1500000,Flat / Apartment,1438,3,3,3, Juniper Drive,London,SW18 1JE
948,Eaton Square,3750000,Flat / Apartment,1550,2,2,2,Belgravia,London,SW1W 9BG
949,Petersham Road,3250000,House,2989,4,4,4,Richmond,Surrey,TW10 7AH
950,Eastfields Avenue,895000,Flat / Apartment,1039,2,2,2, Putney,London,SW18 1FU
951,Sandmere Road,799999,Flat / Apartment,1076,3,3,3,,London,SW4 7QH
952,Barnard Mews,650000,Duplex,890,2,2,2, Battersea,London,SW11 1QU
953,Fitzwilliam Road,1395000,House,1918,3,3,3,,London,SW4 0DN
954,Alderside Apartments,550000,New development,547,1,1,1,35 Salusbury Road,London,NW6 6BF
955,The Watergardens,500000,Flat / Apartment,1008,3,3,3, Woodford Green,Essex,IG8 0GD
956,Buckingham Road,1550000,House,1378,3,3,3,De Beauvoir,London,N1 4HY
957,Kings College Court,4950000,New development,3330,3,3,3,55 Primrose Hill Road,London,NW3 3EA
958,Kings College Court,2850000,Flat / Apartment,1752,2,2,2,55 Primrose Hill Road,London,NW3 3EA
959,Greensward House,2250000,Flat / Apartment,2557,3,3,3, Fulham,London,SW6 2TG
960,Ternary Place,595000,New development,807,2,2,2,North Ealing,London,W5 3HJ
961,Wayneflete Tower Avenue,3300000,House,6309,5,5,5,Esher,Surrey,KT10 8QG
962,Oaklands Road,1225000,House,1758,4,4,4,,London,SW14 8NJ
963,Limehouse Wharf,1350000,Flat / Apartment,2264,2,2,2, Canary Wharf,London,E14 8BP
964,Lime Quarter,545000,New development,773,2,2,2,Bow,London,E3 3PJ
965,Leythe Road,1195000,House,1668,4,4,4,Acton,London,W3 8AW
966,Carlton House,822500,New development,869,2,2,2, Putney,London,SW15 2BS
967,Parliament View Apartments,1345000,Flat / Apartment,1030,3,3,3,1 Albert Embankment,London,SE1 7XL
968,The Tower,1400000,Flat / Apartment,1145,2,2,2, Vauxhall,London,SW8 2BW
969,Peninsula Heights,1750000,Flat / Apartment,1232,2,2,2,93 Albert Embankment,London,SE1 7TY
970,Liverpool Road,2895000,House,3660,6,6,6,Kingston upon Thames,Surrey,KT2 7SX
971,Chester Close North,2350000,House,1844,4,4,4,Regent's Park,London,NW1 4JE
972,Gayville Road,1350000,House,1637,4,4,4,,London,SW11 6JW
973,Green Street,2250000,Flat / Apartment,1348,2,2,2,Mayfair,London,W1K 6RG
974,Northstand Apartments,699950,Flat / Apartment,787,2,2,2,Highbury Stadium Square,London,N5 1FN
975,Highbury Hill,1425000,House,1761,3,3,3,Highbury,London,N5 1AU
976,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
977,Pattison Road,2950000,House,3300,5,5,5,,London,NW2 2HJ
978,Ternary Place,645000,New development,904,2,2,2, Ealing,London,W5 3HJ
979,Sheen Common Drive,5500000,House,5453,6,6,6,Richmond,Surrey,TW10 5BN
980,Nightingale Square,2500000,House,2413,5,5,5,,London,SW12 8QJ
981,Gaskarth Road,1200000,House,1585,4,4,4,,London,SW12 9NN
982,Cambridge Road,1750000,House,1891,5,5,5,Barnes,London,SW13 0PG
983,Mirabel Road,725000,Flat / Apartment,924,3,3,3,Fulham,London,SW6 7EH
984,Tyneham Road,850000,House,780,2,2,2,Battersea,London,SW11 5XR
985,Princes Road,2249000,House,2600,5,5,5,Wimbledon,London,SW19 8RB
986,Tritton House,525000,New development,558,1,1,1,3 Ryeland Boulevard,London,SW18 1UF
987,Gore Road,370000,Flat / Apartment,400,1,1,1,South Hackney,London,E9 7HW
988,Calvin Street,2500000,Flat / Apartment,2132,2,2,2,Spitalfields,London,E1 6NW
989,Hillside Rise,700000,Bungalow,1301,3,3,3,Northwood,Middlesex,HA6 1RR
990,Bennerley Road,1595000,House,2046,4,4,4,,London,SW11 6DR
991,Delaware Mansions,715000,Flat / Apartment,764,2,2,2, Maida Vale,London,W9 2LL
992,Carlton Mansions,985000,Flat / Apartment,978,2,2,2, Maida Vale,London,W9 1NR
993,The Uplands,1695000,House,3683,5,5,5,Loughton,Essex,IG10 1NH
994,High Silver,1095000,House,1728,4,4,4,Loughton,Essex,IG10 4EL
995,Monkhams Avenue,1325000,House,2659,5,5,5,Woodford Green,Essex,IG8 0ER
996,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA
997,Bromyard House,350000,Flat / Apartment,420,1,1,1, Acton,London,W3 7FG
998,Claremont Drive,2000000,House,3556,6,6,6,Esher,Surrey,KT10 9LU
999,Lynwood Road,1095000,House,2442,5,5,5,Thames Ditton,Surrey,KT7 0DN
1000,York Avenue,3250000,House,3467,6,6,6,East Sheen,London,SW14 7LQ
1001,Badminton Road,899950,Flat / Apartment,939,2,2,2,,London,SW12 8BN
1002,Landmark Place At Tower Bridge,2166000,New development,1236,2,2,2,Water Lane,London,EC3R 6EA
1003,Junction House,480000,New development,577,1,1,1, Battersea,London,SW11 2NU
1004,"Park Terrace, Warriner Gardens",2950000,New development,2768,4,4,4,Battersea,London,SW11 4XW
1005,Southlands Drive,585000,Flat / Apartment,784,2,2,2,Wimbledon,London,SW19 5QF
1006,Smith Terrace,2975000,House,2041,3,3,3,Chelsea,London,SW3 4DL
1007,The Close,680000,House,1125,3,3,3,Richmond,Surrey,TW9 4QW
1008,Thornton Place,899000,New development,982,2,2,2,Clapham Common North Side,London,SW4 0AB
1009,Shaftesbury,675000,House,1153,4,4,4,Loughton,Essex,IG10 1HN
1010,Coppice Row,1265000,House,2568,5,5,5, Epping,Essex,CM16 7DN
1011,Stokesheath Road,3500000,House,11077,6,6,6,Oxshott,Surrey,KT22 0PS
1012,John Spencer Square,599995,Flat / Apartment,528,1,1,1,,London,N1 2LZ
1013,Kingsland Road,550000,Flat / Apartment,736,2,2,2,Hackney,London,E8 4EG
1014,Calbourne Road,1325000,House,1595,4,4,4,,London,SW12 8LW
1015,Balham Park Road,2400000,House,2850,6,6,6,,London,SW12 8DZ
1016,Streathbourne Road,2500000,House,3525,6,6,6,,London,SW17 8QY
1017,Phoenix Wharf,1150000,Flat / Apartment,1302,2,2,2, Limehouse,London,E14 8DQ
1018,Lock Side Way,550000,New development,1023,2,2,2,Royal Albert Wharf,London,E16 2QJ
1019,City Walk Apartments,690000,Flat / Apartment,753,2,2,2, Clerkenwell,London,EC1V 3RF
1020,Worship Street,1175000,Flat / Apartment,949,2,2,2,Clerkenwell,London,EC2A 2AH
1021,Thornton Avenue,2000000,House,2222,5,5,5,Chiswick,London,W4 1QG
1022,Bishops Gate,1045000,New development,810,2,2,2, Fulham High Street,Fulham,SW6 3LF
1023,Yvon House,699950,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4GA
1024,Matthews Street,875000,House,1061,3,3,3,Battersea,London,SW11 5AB
1025,King Edwards Road,1695000,House,1938,4,4,4,South Hackney,London,E9 7SF
1026,Lords View,845000,Flat / Apartment,960,2,2,2, St. John's Wood,London,NW8 7HL
1027,Sovereign Mews,850000,House,1213,4,4,4, Hackney,London,E2 8ER
1028,Princelet Street,2000000,Flat / Apartment,2401,3,3,3,,Spitalfields,E1 6QH
1029,Eaton Square,3250000,Flat / Apartment,1509,1,1,1,Belgravia,London,SW1W 9DF
1030,Egbert Street,1750000,Flat / Apartment,1239,3,3,3,Primrose Hill,London,NW1 8LJ
1031,Heathside Close,1250000,House,1880,4,4,4,Moor Park,Middlesex,HA6 2EQ
1032,Birchside Apartments,550000,New development,562,1,1,1, Queens Park,London,NW6 5FS
1033,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
1034,Portman Mansions,1095000,Flat / Apartment,945,1,1,1, Marylebone,London,W1U 6NT
1035,Upshirebury Green,1195000,House,2737,4,4,4,Waltham Abbey,Essex,EN9 3ST
1036,Eldon Grove,1100000,Flat / Apartment,985,3,3,3,Hampstead,London,NW3 5PT
1037,Frognal Lane,3000000,Flat / Apartment,2427,4,4,4,Hampstead,London,NW3 7DU
1038,Pursers Cross Road,2150000,House,2416,5,5,5,Fulham,London,SW6 4QZ
1039,Temple Sheen Road,1800000,House,2129,5,5,5,East Sheen,London,SW14 7RS
1040,Spencer Gardens,1295000,House,1248,3,3,3,,London,SW14 7AH
1041,Graveney Road,1125000,House,2137,5,5,5,,London,SW17 0EG
1042,Ravenswood Road,1025000,House,1556,4,4,4,,London,SW12 9PN
1043,Weltje Road,2750000,House,3251,7,7,7,Ravenscourt Park,London,W6 9LT
1044,Finborough Road,500000,Flat / Apartment,670,1,1,1,,London,SW10 9DA
1045,Dewhurst Road,2520000,House,2638,5,5,5,Brook Green,London,W14 0ES
1046,Sinclair Road,865000,Flat / Apartment,1023,2,2,2,,London,W14 0NP
1047,Lurline Gardens,700000,Flat / Apartment,875,2,2,2,Battersea,London,SW11 4DB
1048,Orbel Street,1350000,House,1295,3,3,3,Battersea,London,SW11 3NX
1049,Riverwalk,3450000,Flat / Apartment,1215,2,2,2, Westminster,London,SW1P 4FA
1050,Wilna Road,1195000,House,1697,4,4,4,,London,SW18 3AY
